@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1,'2018/02/04 19:32:42:452',1,64,38,189,4,1
2,'2018/02/04 19:32:42:625',1,64,38,189,4,1
3,'2018/02/04 19:32:42:809',1,64,38,189,4,1
4,'2018/02/04 19:32:42:976',1,64,38,189,4,1
5,'2018/02/04 19:32:43:160',1,64,38,189,4,1
6,'2018/02/04 19:32:43:345',1,64,38,189,4,1
7,'2018/02/04 19:32:43:533',1,64,38,189,4,1
8,'2018/02/04 19:32:43:717',1,64,38,189,4,1
9,'2018/02/04 19:32:43:895',1,64,38,189,4,1
10,'2018/02/04 19:32:44:071',1,64,38,189,4,1
11,'2018/02/04 19:32:44:265',1,64,38,189,4,1
12,'2018/02/04 19:32:44:427',1,64,38,189,4,1
13,'2018/02/04 19:33:00:348',2,82,58,166,3,2
14,'2018/02/04 19:33:00:528',2,82,58,166,3,2
15,'2018/02/04 19:33:00:725',2,82,58,166,3,2
16,'2018/02/04 19:33:00:916',2,82,58,166,3,2
17,'2018/02/04 19:33:01:095',2,82,58,166,3,2
18,'2018/02/04 19:33:01:279',2,82,58,166,3,2
19,'2018/02/04 19:33:01:468',2,82,58,166,3,2
20,'2018/02/04 19:33:01:650',2,82,58,166,3,2
21,'2018/02/04 19:33:01:850',2,82,58,166,3,2
22,'2018/02/04 19:33:02:041',2,82,58,166,3,2
23,'2018/02/04 19:33:02:216',2,82,58,166,3,2
24,'2018/02/04 19:33:02:409',2,82,58,166,3,2
25,'2018/02/04 19:33:21:316',3,140,168,61,1,3
26,'2018/02/04 19:33:21:493',3,140,168,61,1,3
27,'2018/02/04 19:33:21:671',3,140,168,61,1,3
28,'2018/02/04 19:33:21:842',3,140,168,61,1,3
29,'2018/02/04 19:33:22:020',3,140,168,61,1,3
30,'2018/02/04 19:33:22:178',3,140,168,61,1,3
31,'2018/02/04 19:33:22:348',3,140,168,61,1,3
32,'2018/02/04 19:33:22:511',3,140,168,61,1,3
33,'2018/02/04 19:33:22:696',3,140,168,61,1,3
34,'2018/02/04 19:33:22:868',3,140,168,61,1,3
35,'2018/02/04 19:33:23:024',3,140,168,61,1,3
36,'2018/02/04 19:33:23:188',3,140,168,61,1,3
37,'2018/02/04 19:33:23:345',3,140,168,61,1,3
38,'2018/02/04 19:33:23:525',3,140,168,61,1,3
39,'2018/02/04 19:33:40:874',4,84,94,52,1,4
40,'2018/02/04 19:33:41:082',4,84,94,52,1,4
41,'2018/02/04 19:33:41:270',4,84,94,52,1,4
42,'2018/02/04 19:33:41:467',4,84,94,52,1,4
43,'2018/02/04 19:33:41:675',4,84,94,52,1,4
44,'2018/02/04 19:33:41:856',4,84,94,52,1,4
45,'2018/02/04 19:33:42:059',4,84,94,52,1,4
46,'2018/02/04 19:33:42:264',4,84,94,52,1,4
47,'2018/02/04 19:33:42:483',4,84,94,52,1,4
48,'2018/02/04 19:33:42:688',4,84,94,52,1,4
49,'2018/02/04 19:33:42:894',4,84,94,52,1,4
